336 3,118324
338,5555 -475,1853
338,5586 -471,5728
338,5616 -469,4146
338,5646 -466,3301
338,5676 -463,5606
338,5706 -443,2251
338,5736 -460,7635
338,5766 -444,2143
338,5796 -441,325
338,5826 -438,0322
338,5856 -432,887
338,5886 -463,5237
338,5916 -433,2974
338,5946 -430,7167
338,5976 -424,9757
338,6006 -452,749
338,6036 -426,2435
338,6066 -430,3379
338,6096 -417,3172
338,6126 -407,8621
338,6156 -427,7104
338,6186 -415,8448
338,6216 -420,7032
338,6246 -424,0559
338,6276 -400,2095
338,6306 -407,3843
338,6336 -398,8682
338,6366 -395,0989
338,6396 -379,4491
338,6426 -390,4591
338,6457 -380,6017
338,6487 -380,1766
338,6516 -391,5118
338,6547 -361,9034
338,6577 -370,6913
338,6607 -375,9409
338,6637 -371,6526
338,6667 -370,643
338,6697 -356,1349
338,6727 -371,8291
338,6757 -372,8819
338,6787 -374,0162
338,6817 -352,5126
338,6847 -375,3152
338,6877 -361,1169
338,6907 -357,034
338,6937 -370,9506
338,6967 -362,0158
338,6997 -360,9893
338,7027 -342,3578
338,7057 -349,0121
338,7087 -338,1947
338,7117 -358,5885
338,7147 -329,1059
338,7177 -345,3084
338,7207 -329,5938
338,7237 -335,8481
338,7267 -346,397
338,7297 -332,7244
338,7327 -330,6275
338,7357 -333,1917
338,7387 -329,2583
338,7417 -342,2377
338,7448 -326,724
338,7477 -312,3385
338,7508 -309,2241
338,7538 -318,9962
338,7567 -314,0221
338,7598 -329,4422
338,7628 -312,7905
338,7658 -309,6082
338,7688 -299,1964
338,7718 -305,0612
338,7748 -323,3971
338,7778 -322,9349
338,7808 -308,1432
338,7838 -315,0744
338,7868 -294,36
338,7898 -310,3785
338,7928 -302,1477
338,7958 -316,2418
338,7988 -304,5043
338,8018 -316,5896
338,8048 -298,0952
338,8078 -289,6055
338,8108 -311,7372
338,8138 -282,1491
338,8168 -291,3465
338,8198 -292,0954
338,8228 -293,1685
338,8258 -269,8838
338,8288 -272,5136
338,8318 -284,7121
338,8348 -286,1509
338,8378 -273,045
338,8409 -275,7826
338,8438 -277,3059
338,8468 -277,2426
338,8499 -276,4725
338,8528 -266,2285
338,8559 -271,7338
338,8589 -266,2371
338,8618 -267,3165
338,8649 -278,9718
338,8679 -265,1161
338,8709 -259,6054
338,8739 -263,9958
338,8769 -270,36
338,8799 -264,7795
338,8829 -273,9388
338,8859 -271,3211
338,8889 -257,5341
338,8919 -261,3155
338,8949 -256,5687
338,8979 -258,4843
338,9009 -269,6764
338,9039 -249,4672
338,9069 -254,0051
338,9099 -266,866
338,9129 -249,8671
338,9159 -250,037
338,9189 -255,0458
338,9219 -255,3682
338,9249 -243,6705
338,9279 -251,1451
338,9309 -229,4116
338,9339 -265,7786
338,937 -257,3839
338,9399 -240,1465
338,9429 -233,3257
338,946 -241,3546
338,9489 -222,5312
338,952 -246,2487
338,955 -252,1177
338,9579 -228,0401
338,961 -252,6091
