333 13,7841
340,9279 -124,0589
340,9359 -112,1157
340,9439 -100,9958
340,952 -90,56926
340,96 -80,45274
340,968 -70,02335
340,976 -58,65054
340,984 -46,19521
340,992 -33,38888
341 -21,64178
