
335 15,52223
336,045 74,91324
336,0511 54,23792
336,0571 58,59577
336,063 39,24915
336,0691 42,36215
336,0751 38,3252
336,0811 68,19254
336,0871 80,72463
336,0931 79,88593
336,0991 94,30085
336,1051 76,79481
336,1111 55,68391
336,1171 105,9131
336,1231 82,50706
336,1291 55,75107
336,1351 100,1438
336,1411 93,90872
336,1472 123,9679
336,1532 108,4872
336,1591 140,4625
336,1652 136,5551
336,1712 114,2579
336,1772 173,2883
336,1832 178,2916
336,1892 203,4731
336,1952 223,8741
336,2012 228,8433
336,2072 259,6158
336,2132 296,0304
336,2192 342,8625
336,2252 381,3851
336,2312 443,5717
336,2372 470,4938
336,2433 530,6661
336,2492 553,5907
336,2552 610,0959
336,2613 713,6281
336,2673 771,0811
336,2733 823,1172
336,2793 902,0016
336,2853 952,4921
336,2913 1038,517
336,2973 1086,67
336,3033 1117,188
336,3093 1151,568
336,3153 1193,884
336,3213 1228,439
336,3273 1212,388
336,3333 1182,838
336,3393 1147,512
336,3453 1067,762
336,3513 999,9863
336,3574 845,6727
336,3634 730,1259
336,3694 573,8275
336,3754 372,1919
336,3814 203,7856
336,3874 41,10038
336,3934 -101,4921
336,3994 -256,1187
336,4054 -378,6312
336,4114 -555,0834
336,4174 -709,829
336,4234 -828,6477
336,4294 -902,3125
336,4354 -983,0736
336,4414 -1029,415
336,4474 -1049,058
336,4535 -1075,827
336,4595 -1097,551
336,4655 -1056,356
336,4715 -1037,173
336,4775 -992,5984
336,4835 -940,2499
336,4895 -886,2283
336,4955 -845,7433
336,5015 -786,2273
336,5075 -704,3314
336,5135 -681,246
336,5195 -641,3462
336,5255 -578,9166
336,5315 -486,2979
336,5375 -474,9356
336,5435 -392,7438
336,5496 -360,5793
336,5555 -316,3172
336,5616 -315,5847
336,5676 -281,0407
336,5736 -259,2243
336,5796 -223,7586
336,5856 -213,1429
336,5916 -182,8491
336,5976 -184,6333
336,6036 -146,9779
336,6096 -137,1938
336,6156 -111,4281
336,6216 -128,8069
336,6276 -99,1946
336,6336 -91,72573
336,6396 -99,32526
336,6457 -79,7697
336,6516 -97,13783
336,6577 -100,4019
336,6637 -82,81019
336,6697 -80,15115
336,6757 -84,75852
336,6817 -66,02838
336,6877 -39,61789
336,6937 -72,52359
336,6997 -57,38034
336,7057 -72,93055
336,7117 -45,32904
336,7177 -44,4521
336,7237 -59,29392
336,7297 -45,50013
336,7357 -40,71127
336,7417 -63,50832
336,7477 -47,35464
336,7538 -51,73463
336,7598 -12,8671
336,7658 -73,15206
336,7718 -44,27222
336,7778 -39,69868
336,7838 -16,77938
336,7898 -16,86133
336,7958 -34,15784
336,8018 -46,10764
336,8078 -4,419971
336,8138 -44,42153
336,8198 10,94805
336,8258 -4,197031
336,8318 -24,08775
336,8378 -27,29971
336,8438 -28,92875
336,8499 -1,918353
336,8559 -2,986332
336,8618 -43,39124
336,8679 -36,66344
336,8739 -23,48613
336,8799 -18,34193
336,8859 14,92939
336,8919 3,673692
336,8979 11,64631
336,9039 -16,84417
336,9099 -7,600333
336,9159 2,791073
336,9219 14,14474
336,9279 19,27451
336,9339 -10,24594
336,9399 8,487162
336,946 -2,257055
336,952 12,12617
336,9579 17,05478
336,964 -2,067227
336,97 -4,742831
336,976 -3,79799
336,982 5,676597
336,988 -16,70002
336,994 -7,213108
337 -11,67663
337,006 -7,513723
337,012 7,790188
337,018 26,70215
337,024 -6,957706
337,03 -4,254529
337,036 -22,40829
337,0421 -1,760468
337,048 -18,74087
337,054 -35,33689
337,0601 -10,51478
337,0661 9,551708
337,0721 8,179793
337,0781 -22,1387
337,0841 20,32508
337,0901 13,15731
337,0961 0,3256869
337,1021 12,68102
337,1081 20,90123
337,1141 3,620376
337,1201 21,74671
337,1261 8,850526
337,1321 -6,821201
337,1382 -8,429152
337,1441 20,15268
337,1501 7,853308
337,1562 15,78146
337,1622 15,87689
337,1682 3,823979
337,1742 6,758103
337,1802 13,30725
337,1862 -0,3537396
337,1922 6,528232
337,1982 14,25217
337,2042 1,124216
337,2102 6,285413
337,2162 -13,17789
